review_id,product_id,author,title,rating,content,timestamp,is_verified,profile_id,product_attributes,review_length,product_name,review_length_words,normalized_rating
R0000001,B0D6WD2QSQ,Gdctopa,Great buy,4.0,"Great product, exactly what I needed. Amazing sound quality, really impressed!",2022-08-27,1,PROF95181,Not Specified,78,Beats Pill,11,0.75
R0000002,B0D6WD2QSQ,Pvausie,Great buy,5.0,The Bluetooth range is impressive. Excellent build quality for the price.,2022-12-11,1,PROF22676,Color: Black,73,Beats Pill,11,1.0
R0000003,B0D6WD2QSQ,Usnzjov,Decent product,5.0,Very easy to set up and connect. Very easy to set up and connect.,2024-06-01,1,PROF19116,Not Specified,65,Beats Pill,14,1.0
R0000004,B0D6WD2QSQ,Zwwjlve,Decent product,5.0,"Amazing sound quality, really impressed! Love the design and portability.",2023-11-18,0,PROF89840,Size: Standard,73,Beats Pill,10,1.0
R0000005,B0D6WD2QSQ,Gmhyrfi,Worth it,3.0,Does the job but nothing special.,2022-02-27,1,PROF62581,Color: Black,33,Beats Pill,6,0.5
R0000006,B0D6WD2QSQ,Xosfmxq,Worth it,3.0,"Average sound quality, nothing to write home about.",2022-05-23,1,PROF86622,Size: Standard,51,Beats Pill,8,0.5
R0000007,B0D6WD2QSQ,Zdmtwde,Great buy,2.0,Battery drains way too fast. Battery drains way too fast.,2023-09-03,1,PROF88104,Not Specified,57,Beats Pill,10,0.25
R0000008,B0D6WD2QSQ,Oyrcxtt,Not impressed,5.0,I use this every day and it never disappoints. The Bluetooth range is impressive.,2022-10-28,1,PROF10425,Color: White,81,Beats Pill,14,1.0
R0000009,B0D6WD2QSQ,Ncqvnfj,Great buy,5.0,"Battery life is fantastic, lasts all day. The Bluetooth range is impressive.",2024-03-08,1,PROF74042,Not Specified,76,Beats Pill,12,1.0
R0000010,B0D6WD2QSQ,Wvhbwyc,Worth it,5.0,"Amazing sound quality, really impressed! Great product, exactly what I needed.",2022-03-12,1,PROF82063,Color: White,78,Beats Pill,11,1.0
R0000011,B0D6WD2QSQ,Pzytrsk,Not impressed,1.0,Very disappointed with the build quality. Not worth the price at all.,2023-01-18,1,PROF25860,Not Specified,69,Beats Pill,12,0.0
R0000012,B0D6WD2QSQ,Aopasbb,Great buy,5.0,Love the design and portability. Love the design and portability.,2022-12-05,1,PROF46500,Not Specified,65,Beats Pill,10,1.0
R0000013,B0D6WD2QSQ,Swogmkc,Not impressed,5.0,I use this every day and it never disappoints. Love the design and portability.,2022-12-29,1,PROF17100,Not Specified,79,Beats Pill,14,1.0
R0000014,B0D6WD2QSQ,Iwgelkh,Not impressed,4.0,"Great product, exactly what I needed. Amazing sound quality, really impressed!",2022-03-19,0,PROF16630,Not Specified,78,Beats Pill,11,0.75
R0000015,B0D6WD2QSQ,Zywemfk,Great buy,3.0,Works as described.,2023-01-24,1,PROF69638,Not Specified,19,Beats Pill,3,0.5
R0000016,B0D6WD2QSQ,Yzosehz,Great buy,3.0,"Average sound quality, nothing to write home about.",2023-07-10,1,PROF17492,Size: Standard,51,Beats Pill,8,0.5
R0000017,B0D6WD2QSQ,Xnbnwbb,Great buy,4.0,"Amazing sound quality, really impressed! Waterproof feature is a big plus.",2023-02-18,1,PROF85880,Not Specified,74,Beats Pill,11,0.75
R0000018,B0D6WD2QSQ,Kpnyfsg,Decent product,5.0,"Waterproof feature is a big plus. Amazing sound quality, really impressed!",2023-11-19,1,PROF19508,Not Specified,74,Beats Pill,11,1.0
R0000019,B0D6WD2QSQ,Ocnndjb,Worth it,4.0,"Amazing sound quality, really impressed! I use this every day and it never disappoints.",2022-10-19,1,PROF90173,Not Specified,87,Beats Pill,14,0.75
R0000020,B0D6WD2QSQ,Oycwgxt,Worth it,4.0,"The Bluetooth range is impressive. Amazing sound quality, really impressed!",2022-10-16,1,PROF36685,Size: Standard,75,Beats Pill,10,0.75
R0000021,B0D6WD2QSQ,Xvclhau,Worth it,5.0,"Battery life is fantastic, lasts all day. The Bluetooth range is impressive.",2022-09-26,1,PROF82309,Size: Standard,76,Beats Pill,12,1.0
R0000022,B0D6WD2QSQ,Cyrdajo,Decent product,3.0,Decent speaker but there are better options.,2022-02-12,0,PROF56898,Color: Red,44,Beats Pill,7,0.5
R0000023,B0D6WD2QSQ,Jowztyg,Worth it,4.0,Love the design and portability. Love the design and portability.,2024-03-30,0,PROF33509,Not Specified,65,Beats Pill,10,0.75
R0000024,B0D6WD2QSQ,Wvgucww,Not impressed,4.0,Very easy to set up and connect. Excellent build quality for the price.,2024-04-16,1,PROF39831,Color: Red,71,Beats Pill,13,0.75
R0000025,B0D6WD2QSQ,Khbujnr,Great buy,4.0,"Love the design and portability. Amazing sound quality, really impressed!",2022-12-06,1,PROF33405,Color: Black,73,Beats Pill,10,0.75
R0000026,B0D6WD2QSQ,Piulzdx,Not impressed,5.0,"Waterproof feature is a big plus. Battery life is fantastic, lasts all day.",2022-02-15,1,PROF57739,Color: Black,75,Beats Pill,13,1.0
R0000027,B0D6WD2QSQ,Riiwshi,Decent product,3.0,Decent speaker but there are better options.,2023-02-17,1,PROF35144,Not Specified,44,Beats Pill,7,0.5
R0000028,B0D6WD2QSQ,Xqhoahl,Decent product,5.0,Excellent build quality for the price. Excellent build quality for the price.,2023-11-02,1,PROF67954,Not Specified,77,Beats Pill,12,1.0
R0000029,B0D6WD2QSQ,Xuecnqi,Worth it,5.0,Love the design and portability. The Bluetooth range is impressive.,2024-02-09,1,PROF39444,Size: Standard,67,Beats Pill,10,1.0
R0000030,B0D6WD2QSQ,Gmwbkqf,Not impressed,2.0,Bluetooth connectivity drops constantly. Very disappointed with the build quality.,2023-05-22,1,PROF95990,Color: White,82,Beats Pill,10,0.25
R0000031,B0D6WD2QSQ,Fusmoxd,Decent product,5.0,"Amazing sound quality, really impressed! Great product, exactly what I needed.",2023-04-21,1,PROF81810,Not Specified,78,Beats Pill,11,1.0
R0000032,B0D6WD2QSQ,Tmggqtn,Not impressed,3.0,Decent speaker but there are better options.,2022-10-09,1,PROF40735,Color: Black,44,Beats Pill,7,0.5
R0000033,B0D6WD2QSQ,Odgssbk,Great buy,2.0,"Not worth the price at all. Returned it immediately, very poor quality.",2023-03-02,1,PROF61049,Color: White,71,Beats Pill,12,0.25
R0000034,B0D6WD2QSQ,Tjajtwy,Worth it,5.0,"Waterproof feature is a big plus. Amazing sound quality, really impressed!",2024-02-05,1,PROF45774,Not Specified,74,Beats Pill,11,1.0
R0000035,B0D6WD2QSQ,Irkemdq,Great buy,5.0,Excellent build quality for the price. I use this every day and it never disappoints.,2023-02-08,1,PROF27786,Color: Black,85,Beats Pill,15,1.0
